lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
116.04388249516474,39.97483450147377,北京农商银行(妙峰山分理处),妙峰山镇政府对面,北京市,北京市,,金融保险服务;银行;北京农商银行,160149,B0FFF4QB3O,金融保险服务,银行,北京农商银行,
116.04409502389025,39.97487506090554,北京农商银行24小时自助银行服务(妙峰山分理处),陇驾庄后街与陇驾庄西街交叉口北150米,北京市,北京市,,金融保险服务;自动提款机;农村商业银行ATM,160318,B0FFGCBJQ0,金融保险服务,自动提款机,农村商业银行ATM,
116.08818269493514,39.995735624321924,北京农商银行24小时自助银行(军庄分理处),G109(京拉线),北京市,北京市,军庄镇,金融保险服务;自动提款机;北京农商银行ATM,160346,B0FFL1AJ1F,金融保险服务,自动提款机,北京农商银行ATM,
116.0881827026659,39.9956756268525,北京农商银行(军庄分理处),军庄镇军庄村口南100米,北京市,北京市,军庄镇,金融保险服务;银行;北京农商银行,160149,B000A7VRVH,金融保险服务,银行,北京农商银行,
116.08309397290589,39.94331218586689,中国建设银行,门头沟北路,北京市,北京市,龙泉,金融保险服务;银行;中国建设银行,160106,B0FFLNM15G,金融保险服务,银行,中国建设银行,
116.0740720037928,39.94187370287868,中国邮政储蓄银行(龙泉营业所),和平南街与和平街交汇处东150米,北京市,北京市,东辛房村,金融保险服务;银行;中国邮政储蓄银行,160139,B0FFGJVC6Y,金融保险服务,银行,中国邮政储蓄银行,
116.08928550188949,39.93735779013848,北京银行(惠民家园支行),黑山大街28号惠民家园2区29号楼底商,北京市,北京市,门头沟,金融保险服务;银行;北京银行,160119,B0FFL34WBV,金融保险服务,银行,北京银行,
116.08842707697939,39.93882285629219,中国建设银行,黑山大街与增产路交叉口东南方向70米,北京市,北京市,门头沟,金融保险服务;银行;中国建设银行,160106,B0FFM7LMES,金融保险服务,银行,中国建设银行,
116.07408899567581,39.9418606896603,中国邮政储蓄银行24小时自助银行(龙泉营业所),和平南街与和平街交叉口东150米,北京市,北京市,东辛房村,金融保险服务;自动提款机;中国邮政储蓄银行ATM,160336,B0FFGJVC6E,金融保险服务,自动提款机,中国邮政储蓄银行ATM,
116.08823403028902,39.93881688896257,中国建设银行24小时自助银行,惠民家园二区29号楼底商,北京市,北京市,门头沟,金融保险服务;自动提款机;中国建设银行ATM,160303,B0FFLJTQWC,金融保险服务,自动提款机,中国建设银行ATM,
116.08300019872175,39.94159729141739,北京农商银行(城龙支行),门头沟路38号,北京市,北京市,门头沟,金融保险服务;银行;北京农商银行,160149,B000A8XDX6,金融保险服务,银行,北京农商银行,
116.0892474815286,39.93742779217321,北京银行24小时自助银行(惠民家园支行),黑山大街22附近,北京市,北京市,龙泉,金融保险服务;自动提款机;北京银行ATM,160316,B0FFL5WD0K,金融保险服务,自动提款机,北京银行ATM,
116.08255202446259,39.94320641446767,北京农商银行24小时自助银行(门头沟北路),增产路与门头沟北路交叉口东北100米,北京市,北京市,龙泉,金融保险服务;自动提款机;北京农商银行ATM,160346,B0FFHDSC1R,金融保险服务,自动提款机,北京农商银行ATM,
116.08291820921511,39.94155532652672,北京农商银行24小时自助银行(城龙支行),门头沟路38号,北京市,北京市,门头沟,金融保险服务;自动提款机;北京农商银行ATM,160346,B000A8XD9U,金融保险服务,自动提款机,北京农商银行ATM,
