lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
116.07193810099741,40.137540214941865,白虎涧森林公园,[],北京市,北京市,,风景名胜;公园广场;公园,110101,B0FFF4HDX2,风景名胜,公园广场,公园,
116.09210416901298,40.126549179015356,北京后花园(白虎涧)风景区,阳坊镇,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B000A08863,风景名胜,风景名胜,风景名胜,
116.09081578261556,40.12530433018872,宝云寺金刚宝塔,二道河北京后花园景区门口,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0HARZ2F3O,风景名胜,风景名胜,风景名胜,
116.08093059644216,40.110916315884694,观音堂,台头村路(北京凤凰岭自然风景区公园),北京市,北京市,,风景名胜;风景名胜;寺庙道观,110205,B0G1GORWQZ,风景名胜,风景名胜,寺庙道观,
116.08072417563756,40.11445912344611,吕祖殿,凤凰岭路19号北京凤凰岭自然风景公园桃源观内,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0G1LN5J2P,风景名胜,风景名胜,风景名胜,
116.08088613994056,40.11450203816309,北线景区-观音洞,凤凰岭自然风景公园内,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFMFCYIQ,风景名胜,风景名胜,风景名胜,
116.07791966323538,40.11658754347585,北京凤凰岭自然风景公园-仰石,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO9H2,风景名胜,风景名胜,风景名胜,
116.07456434907361,40.11525803923429,北京凤凰岭自然风景公园-飞来石塔,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO68M,风景名胜,风景名胜,风景名胜,
116.07697810610682,40.115938216307974,倚山口,苏家坨镇凤凰岭路19号北京凤凰岭自然风景区公园内,北京市,北京市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFHZQWCB,风景名胜,风景名胜相关,旅游景点,
116.07781570082533,40.11658360999872,北京凤凰岭自然风景公园-宫保石寨,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVNL42,风景名胜,风景名胜,风景名胜,
116.07580734661735,40.11036050761288,凤凰岭龙凤阁,[],北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFJQPBBL,风景名胜,风景名胜,风景名胜,
116.0808160130171,40.115580981716754,北京凤凰岭自然风景公园-天梯亭,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVOA07,风景名胜,风景名胜,风景名胜,
116.08088609797585,40.11482601073217,北京凤凰岭景区-三清殿,凤凰岭路19号北京凤凰岭自然风景公园桃源观内,北京市,北京市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFHZQU1U,风景名胜,风景名胜相关,旅游景点,
116.08094807454343,40.11492097174298,北京凤凰岭自然风景公园-天梯修仙洞,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B000A9PIIF,风景名胜,风景名胜,风景名胜,
116.08089213846537,40.1145050349081,北京凤凰岭自然风景公园-观音洞,观西侧,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO9HU,风景名胜,风景名胜,风景名胜,
116.08193694088932,40.11481451065658,北京凤凰岭自然风景公园-风云洞,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVNDE1,风景名胜,风景名胜,风景名胜,
116.07302267076795,40.112114568575265,北京凤凰岭自然风景公园-密宗塔,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO65Q,风景名胜,风景名胜,风景名胜,
116.08088412165232,40.114646026979635,北京凤凰岭自然风景公园-千峯祖庭,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO696,风景名胜,风景名胜,风景名胜,
116.08415108832156,40.11271279454687,北京凤凰岭自然风景公园神泉,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVNZ1Y,风景名胜,风景名胜,风景名胜,
116.08202901748857,40.11413952624372,北京凤凰岭自然风景公园-怡境潭,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO9HP,风景名胜,风景名胜,风景名胜,
116.0822270426025,40.11377846866121,纳凉石,苏家坨镇凤凰岭路19号北京凤凰岭自然风景区公园内,北京市,北京市,,风景名胜;风景名胜相关;旅游景点,110000,B0FFHZPTTE,风景名胜,风景名胜相关,旅游景点,
116.08223604141362,40.11378046453459,北京凤凰岭自然风景公园-玉兔石,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVNYT4,风景名胜,风景名胜,风景名胜,
116.07176750140916,40.11223366709056,北京凤凰岭自然风景公园-上方寺遗址,凤凰岭路1号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO68G,风景名胜,风景名胜,风景名胜,
116.08218103084964,40.11390647817119,北京凤凰岭自然风景公园-峰恋石,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO9GM,风景名胜,风景名胜,风景名胜,
116.07292079276732,40.11167669235161,北京凤凰岭自然风景公园-甘冽泉,凤凰岭路1号北京凤凰岭自然风景公园北京凤凰岭自然风景公园-密宗塔附近,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFH8MDD9,风景名胜,风景名胜,风景名胜,
116.08373112866425,40.112415971822166,北京凤凰岭自然风景公园-摩崖石塔,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO9HN,风景名胜,风景名胜,风景名胜,
116.0829679867938,40.11373915823416,北京凤凰岭自然风景公园-乘凉石,凤凰岭路19号北京凤凰岭自然风景公园,北京市,北京市,,风景名胜;风景名胜;风景名胜,110200,B0FFFVO9GY,风景名胜,风景名胜,风景名胜,
